,Start_Time,SPEED,Coolant Temp,Engine Load,Timing Advance,Short Trim B1,Long Trim B1,MAF,Throttle_pos_B,End_Time
22,1725084321.3179433,62.0 kilometer_per_hour,93 degree_Celsius,70.98039215686275 percent,23.0 degree,,,,24.705882352941178 percent,1725084321.558842
23,1725084321.8588748,63.0 kilometer_per_hour,93 degree_Celsius,70.98039215686275 percent,20.5 degree,,,,24.705882352941178 percent,1725084322.099416
24,1725084322.3995404,64.0 kilometer_per_hour,93 degree_Celsius,52.94117647058823 percent,16.0 degree,,,,17.647058823529413 percent,1725084322.6398833
25,1725084322.9401844,64.0 kilometer_per_hour,93 degree_Celsius,26.274509803921568 percent,30.5 degree,,,,16.470588235294116 percent,1725084323.1807127
26,1725084323.48074,63.0 kilometer_per_hour,93 degree_Celsius,21.568627450980394 percent,15.0 degree,,,,16.862745098039216 percent,1725084323.7210586
27,1725084324.0209599,62.0 kilometer_per_hour,93 degree_Celsius,23.92156862745098 percent,38.0 degree,,,,19.607843137254903 percent,1725084324.2616668
28,1725084324.5616946,62.0 kilometer_per_hour,93 degree_Celsius,37.254901960784316 percent,30.0 degree,,,,20.784313725490197 percent,1725084324.8014598
29,1725084325.1081972,63.0 kilometer_per_hour,93 degree_Celsius,43.529411764705884 percent,30.0 degree,,,,20.392156862745097 percent,1725084325.342407
30,1725084325.6425846,63.0 kilometer_per_hour,93 degree_Celsius,44.31372549019608 percent,30.0 degree,,,,20.784313725490197 percent,1725084325.883186
31,1725084326.183256,63.0 kilometer_per_hour,93 degree_Celsius,50.588235294117645 percent,28.5 degree,,,,21.568627450980394 percent,1725084326.4235954
32,1725084326.7237663,63.0 kilometer_per_hour,93 degree_Celsius,67.45098039215686 percent,17.5 degree,,,,22.352941176470587 percent,1725084326.9641724
33,1725084327.2641196,63.0 kilometer_per_hour,93 degree_Celsius,74.11764705882354 percent,24.5 degree,,,,22.352941176470587 percent,1725084327.504461
34,1725084327.804125,63.0 kilometer_per_hour,93 degree_Celsius,75.29411764705883 percent,25.0 degree,,,,22.352941176470587 percent,1725084328.0449884
35,1725084328.3446932,63.0 kilometer_per_hour,92 degree_Celsius,75.29411764705883 percent,25.5 degree,,,,22.352941176470587 percent,1725084328.584905
36,1725084328.8855882,63.0 kilometer_per_hour,92 degree_Celsius,76.47058823529412 percent,25.0 degree,,,,22.352941176470587 percent,1725084329.1255922
0,1725084345.9654553,63.0 kilometer_per_hour,93 degree_Celsius,77.25490196078431 percent,24.5 degree,,,,22.352941176470587 percent,1725084346.2058055
1,1725084346.5058258,63.0 kilometer_per_hour,93 degree_Celsius,71.37254901960785 percent,25.5 degree,,,,20.392156862745097 percent,1725084346.7461739
2,1725084347.0460007,63.0 kilometer_per_hour,93 degree_Celsius,34.11764705882353 percent,27.5 degree,,,,15.686274509803921 percent,1725084347.286777
3,1725084347.5865467,63.0 kilometer_per_hour,93 degree_Celsius,29.41176470588235 percent,12.0 degree,,,,14.509803921568627 percent,1725084347.8265843
4,1725084348.12656,62.0 kilometer_per_hour,93 degree_Celsius,23.137254901960784 percent,-1.5 degree,,,,15.294117647058824 percent,1725084348.3664682
5,1725084348.66705,61.0 kilometer_per_hour,93 degree_Celsius,21.176470588235293 percent,-2.0 degree,,,,16.07843137254902 percent,1725084348.9072978
6,1725084349.2072015,61.0 kilometer_per_hour,93 degree_Celsius,21.568627450980394 percent,-3.0 degree,,,,16.07843137254902 percent,1725084349.4474142
7,1725084349.747482,59.0 kilometer_per_hour,93 degree_Celsius,21.176470588235293 percent,-3.0 degree,,,,16.07843137254902 percent,1725084349.987756
8,1725084350.2877903,58.0 kilometer_per_hour,93 degree_Celsius,18.431372549019606 percent,-2.0 degree,,,,14.901960784313726 percent,1725084350.5279894
9,1725084350.8279536,56.0 kilometer_per_hour,93 degree_Celsius,17.647058823529413 percent,-1.5 degree,,,,14.901960784313726 percent,1725084351.0682073
