,Start_Time,SPEED,Coolant Temp,Engine Load,Timing Advance,Short Trim B1,Long Trim B1,MAF,Throttle_pos,End_Time
19,1725088016.6841557,15.0 kilometer_per_hour,94 degree_Celsius,30.58823529411765 percent,17.5 degree,,,,16.470588235294116 percent,1725088016.9240692
20,1725088017.223937,15.0 kilometer_per_hour,94 degree_Celsius,30.980392156862745 percent,17.5 degree,,,,16.470588235294116 percent,1725088017.4638495
21,1725088017.7634094,15.0 kilometer_per_hour,94 degree_Celsius,29.80392156862745 percent,17.5 degree,,,,17.254901960784313 percent,1725088018.0032473
22,1725088018.3032246,14.0 kilometer_per_hour,94 degree_Celsius,39.21568627450981 percent,29.0 degree,,,,21.96078431372549 percent,1725088018.543308
23,1725088018.8426452,14.0 kilometer_per_hour,94 degree_Celsius,52.94117647058823 percent,28.5 degree,,,,20.392156862745097 percent,1725088019.0836155
24,1725088019.3849509,14.0 kilometer_per_hour,93 degree_Celsius,51.76470588235294 percent,30.0 degree,,,,19.607843137254903 percent,1725088019.62651
25,1725088019.9276469,14.0 kilometer_per_hour,93 degree_Celsius,43.92156862745098 percent,31.5 degree,,,,16.862745098039216 percent,1725088020.1690676
26,1725088020.470331,14.0 kilometer_per_hour,93 degree_Celsius,37.64705882352941 percent,18.0 degree,,,,16.470588235294116 percent,1725088020.7115307
27,1725088021.012749,13.0 kilometer_per_hour,93 degree_Celsius,29.80392156862745 percent,22.0 degree,,,,16.862745098039216 percent,1725088021.254261
28,1725088021.5554543,13.0 kilometer_per_hour,93 degree_Celsius,30.19607843137255 percent,30.5 degree,,,,17.254901960784313 percent,1725088021.796143
29,1725088022.097855,13.0 kilometer_per_hour,93 degree_Celsius,31.372549019607842 percent,16.5 degree,,,,17.254901960784313 percent,1725088022.3389547
30,1725088022.6400697,12.0 kilometer_per_hour,93 degree_Celsius,31.764705882352942 percent,13.0 degree,,,,17.254901960784313 percent,1725088022.8811724
31,1725088023.1823795,12.0 kilometer_per_hour,93 degree_Celsius,31.764705882352942 percent,12.5 degree,,,,17.254901960784313 percent,1725088023.4234624
32,1725088023.7244244,12.0 kilometer_per_hour,93 degree_Celsius,32.15686274509804 percent,9.5 degree,,,,17.254901960784313 percent,1725088023.9656365
33,1725088024.2664547,11.0 kilometer_per_hour,93 degree_Celsius,34.11764705882353 percent,7.0 degree,,,,16.862745098039216 percent,1725088024.5076172
34,1725088024.8084037,11.0 kilometer_per_hour,93 degree_Celsius,38.03921568627451 percent,1.0 degree,,,,17.647058823529413 percent,1725088025.0495794
35,1725088025.350598,10.0 kilometer_per_hour,93 degree_Celsius,38.8235294117647 percent,0.0 degree,,,,17.254901960784313 percent,1725088025.590827
36,1725088025.892512,9.0 kilometer_per_hour,93 degree_Celsius,41.96078431372549 percent,-2.0 degree,,,,19.215686274509803 percent,1725088026.1335893
0,1725472551.174748,4.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472551.193942
1,1725472551.4487722,8.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472551.4913151
2,1725472551.7460675,12.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472551.7747154
3,1725472552.0300229,16.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472552.0400972
4,1725472552.2946808,20.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472552.3203285
5,1725472552.5750654,24.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472552.6000412
6,1725472552.855505,28.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472552.8817198
7,1725472553.1370726,32.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472553.1467123
8,1725472553.4012423,36.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472553.426424
9,1725472553.6818528,40.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472553.7072992
10,1725472553.9626157,44.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472553.972462
11,1725472554.2265093,48.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472554.2329993
12,1725472555.2674809,52.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472555.27741
13,1725472555.529277,56.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472555.53732
14,1725472555.7913158,60.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472555.815561
15,1725472556.070699,64.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472556.080932
16,1725472556.3357768,68.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472556.358458
17,1725472556.6122522,72.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472556.6381798
18,1725472556.8927019,76.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472556.902797
19,1725472557.1570187,80.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472557.181147
20,1725472557.4360502,84.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472557.4601123
21,1725472557.7155504,88.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472557.7402039
22,1725472557.9951217,92.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472558.0048678
23,1725472558.2595038,96.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472558.2842987
24,1725472558.5395033,100.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472558.5669355
25,1725472558.822496,104.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472558.8485937
26,1725472559.103956,108.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472559.115117
27,1725472559.3697104,112.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472559.3979511
