Timestamp_OBD,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS,THROTTLE_POS_B,ACCELERATOR_POS_D,ACCELERATOR_POS_E,THROTTLE_ACTUATOR
1738911717.4839902,<obd.OBDResponse.Status object at 0x7f06aff2c810>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.666666666666668,90,2.34375,12.5,35,816.5,0.0,7.5,46,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.855,0.17,India OBD II (IOBD II),344.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.664,21.176470588235293,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911720.0339084,<obd.OBDResponse.Status object at 0x7f06afee6890>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.84313725490196,90,-3.90625,11.71875,35,733.5,0.0,9.0,46,14.901960784313726,"((), (False, False, False, False), (False, False, True, True))",0.565,0.175,India OBD II (IOBD II),347.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.688,20.392156862745097,4.705882352941177,14.901960784313726,14.901960784313726,7.450980392156863,6.2745098039215685
1738911722.5837765,<obd.OBDResponse.Status object at 0x7f06aff3aad0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.058823529411764,90,0.0,12.5,35,770.5,0.0,9.0,46,14.901960784313726,"((), (False, False, False, False), (False, False, True, True))",0.09,0.17,India OBD II (IOBD II),350.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.546000000000001,22.352941176470587,5.490196078431373,15.686274509803921,14.901960784313726,7.450980392156863,9.803921568627452
1738911725.1334844,<obd.OBDResponse.Status object at 0x7f06aff43d50>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",36.86274509803921,89,0.0,10.9375,47,651.0,1.0,11.0,46,15.686274509803921,"((), (False, False, False, False), (False, False, True, True))",0.81,0.175,India OBD II (IOBD II),352.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,12.792,29.41176470588235,5.882352941176471,16.07843137254902,14.901960784313726,7.450980392156863,7.450980392156863
1738911727.6534336,<obd.OBDResponse.Status object at 0x7f06aff3f350>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.03921568627451,89,1.5625,10.9375,45,786.0,0.0,0.5,46,16.07843137254902,"((), (False, False, False, False), (False, False, True, True))",0.845,0.2,India OBD II (IOBD II),355.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.57,26.666666666666668,6.2745098039215685,16.470588235294116,14.901960784313726,7.450980392156863,7.8431372549019605
1738911730.2033362,<obd.OBDResponse.Status object at 0x7f06aff38d90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",36.470588235294116,89,1.5625,10.9375,45,795.5,0.0,3.0,46,16.470588235294116,"((), (False, False, False, False), (False, False, True, True))",0.1,0.32,India OBD II (IOBD II),357.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.735,27.058823529411764,6.2745098039215685,16.470588235294116,14.901960784313726,7.450980392156863,8.235294117647058
1738911732.8128834,<obd.OBDResponse.Status object at 0x7f06b0750390>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",36.86274509803921,88,-0.78125,10.9375,45,782.5,0.0,3.5,46,16.470588235294116,"((), (False, False, False, False), (False, False, True, True))",0.1,0.675,India OBD II (IOBD II),360.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.57,28.235294117647058,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911735.374897,<obd.OBDResponse.Status object at 0x7f06b07859d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",37.254901960784316,88,0.0,10.9375,46,806.0,0.0,3.0,46,16.470588235294116,"((), (False, False, False, False), (False, False, True, True))",0.68,0.695,India OBD II (IOBD II),362.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.64,28.235294117647058,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911737.9130328,<obd.OBDResponse.Status object at 0x7f06b00489d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",37.64705882352941,88,1.5625,10.9375,46,832.0,0.0,0.5,46,16.470588235294116,"((), (False, False, False, False), (False, False, True, True))",0.84,0.7,India OBD II (IOBD II),365.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.57,28.235294117647058,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911740.4866314,<obd.OBDResponse.Status object at 0x7f06b02cb190>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",37.64705882352941,88,0.78125,10.9375,46,810.5,0.0,1.5,46,16.470588235294116,"((), (False, False, False, False), (False, False, True, True))",0.08,0.72,India OBD II (IOBD II),368.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.758000000000001,28.627450980392158,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
